chinese,pinyin,english,thai
国际电工委员会,guó jì diàn gōng wěi yuán huì,International Electro-technical Commission (IEC),คณะกรรมาธิการไฟฟ้าระหว่างประเทศ (IEC)
设备隔离与分区,shè bèi gé lí yǔ fēn qū,Isolating and Partitioning Equipment,การแยกและกั้นพื้นที่อุปกรณ์
IT设备,IT shè bèi,IT Equipment,อุปกรณ์ IT
IT机柜,IT jī guì,IT Rack,ตู้ rack IT
局域网机房,jú yù wǎng jī fáng,LAN Room,ห้อง LAN
装卸货平台,zhuāng xiè huò píng tái,Loading Dock,ท่าขนถ่ายสินค้า
安装导轨,ān zhuāng dǎo guǐ,Mounting Rail,รางติดตั้งอุปกรณ์ในตู้ rack
多厂商兼容性,duō chǎng shāng jiān róng xìng,Multi-Vendor Compatibility,ความเข้ากันได้ระหว่างหลายผู้ผลิต
网络机房,wǎng luò jī fáng,Network Rooms,ห้องเครือข่าย (network room)
穿孔门,chuān kǒng mén,Perforated Door,ประตูตู้ rack แบบมีรูระบายอากาศ
穿孔机柜门（通风）,chuān kǒng jī guì mén,Perforated Rack Doors (Ventilation),ประตูตู้ rack แบบมีรู (ระบายอากาศ)
物理结构,wù lǐ jié gòu,Physical Structure,โครงสร้างทางกายภาพ
快拆铰链销,kuài chāi jiǎo liàn xiāo,Quick-Release Hinge Pin,สลักบานพับแบบถอดเร็ว
快拆侧板,kuài chāi cè bǎn,Quick-Release Side Panel,แผงข้างตู้ rack แบบถอดเร็ว
机柜深度,jī guì shēn dù,Rack Depth,ความลึกของตู้ rack
机柜外壳,jī guì wài ké,Rack Enclosure,ตู้ rack แบบปิด (rack enclosure)
机架安装,jī jià ān zhuāng,Rack Mounting,การติดตั้งบนตู้ rack (rack mounting)
机架系统,jī jià xì tǒng,Rack System,ระบบตู้ rack
机架优化形态,jī jià yōu huà xíng tài,Rack-Optimized Form,รูปแบบที่ออกแบบให้เหมาะกับตู้ rack
机柜系统,jī guì xì tǒng,Rack/Cabinet System,ระบบตู้ rack
机架与物理结构,jī jià yǔ wù lǐ jié gòu,Racks and Physical Structure,ตู้ rack และโครงสร้างทางกายภาพ
架空地板,jià kōng dì bǎn,Raised Floor,พื้นยกระดับ (raised floor)
后部安装,hòu bù ān zhuāng,Rear Mounting,การติดตั้งด้านหลังตู้ rack
服务器迁移,fú wù qì qiān yí,Server Migration,การย้ายเซิร์ฟเวอร์ (server migration)
服务器出货量,fú wù qì chū huò liàng,Server Unit Shipments,ยอดจัดส่งเซิร์ฟเวอร์
空间,kōng jiān,Space (Occupancy Data),พื้นที่ (ข้อมูลการใช้พื้นที่)
分体式后门,fēn tǐ shì hòu mén,Split Rear Door (French Door),ประตูหลังแบบแยกสองบาน (split rear door)
结构楼板,jié gòu lóu bǎn,Structural Floor Slab,พื้นโครงสร้างอาคาร
电信设备,diàn xìn shè bèi,Telecommunications Equipment,อุปกรณ์โทรคมนาคม
U高度,U gāo dù,U Height,ความสูงหน่วย U ของตู้ rack
已用 / 空闲,yǐ yòng / kòng xián,Used / Free,ใช้แล้ว / ว่าง
厂商中立机柜,chǎng shāng zhōng lì jī guì,Vendor-Neutral Rack,ตู้ rack ที่ใช้ได้กับทุกยี่ห้อ
设备检修禁止合闸,shè bèi jiǎn xiū jìn zhǐ hé zhá,"""Equipment Under Maintenance, Do Not Switch On"" Sign","ป้าย ""กำลังซ่อมบำรุง ห้ามสับสวิตช์"""
1211干粉灭火器,yī èr yī yī gān fěn miè huǒ qì,1211 Dry Powder Fire Extinguisher,ถังดับเพลิงผงเคมีแห้งรุ่น 1211
出入管制与安全,chū rù guǎn zhì yǔ ān quán,Access and Security,การควบคุมการเข้าออกและความปลอดภัย
门禁,mén jìn,Access Control,ระบบควบคุมการเข้าออก (access control)
访问需求,fǎng wèn xū qiú,Access Requirements,ข้อกำหนดในการเข้าถึง
意外喷放,yì wài pēn fàng,Accidental Discharge,การปล่อยสารดับเพลิงโดยไม่ตั้งใจ
吸音材料,xī yīn cái liào,Acoustical Material,วัสดุดูดซับเสียง
主管当局,zhǔ guǎn dāng jú,AHJ (Authority Having Jurisdiction),หน่วยงานที่มีอำนาจกำกับดูแล (AHJ)
报警显示盘,bào jǐng xiǎn shì pán,Annunciator Panel,แผงแสดงผลสัญญาณเตือน
有管辖权的主管当局,yǒu guǎn xiá quán de zhǔ guǎn dāng jú,Authority Having Jurisdiction (AHJ),หน่วยงานที่มีอำนาจกำกับดูแล (AHJ)
生物识别,shēng wù shí bié,Biometric Identification,การระบุตัวตนด้วยไบโอเมตริก
楼宇安防系统,lóu yǔ ān fáng xì tǒng,Building Security System,ระบบรักษาความปลอดภัยของอาคาร
四氯化碳气体灭火器,sì lǜ huà tàn qì tǐ miè huǒ qì,Carbon Tetrachloride Gas Extinguisher,ถังดับเพลิงแก๊สคาร์บอนเตตราคลอไรด์
门禁卡与保安安防,mén jìn kǎ yǔ bǎo ān ān fáng,Card-and-Guard Security,ระบบรักษาความปลอดภัยด้วยบัตรและเจ้าหน้าที่รักษาความปลอดภัย
一级等级,yī jí děng jí,Class 1 Rating,เรตติ้งระดับ Class 1
二氧化碳灭火器,èr yǎng huà tàn miè huǒ qì,CO2 Fire Extinguisher,ถังดับเพลิงคาร์บอนไดออกไซด์ (CO2)
密码锁,mì mǎ suǒ,Combination Lock,กุญแจรหัส (combination lock)
网络安全,wǎng luò ān quán,Cybersecurity,ความปลอดภัยทางไซเบอร์
干粉灭火器,gān fěn miè huǒ qì,Dry Chemical Extinguisher,ถังดับเพลิงผงเคมีแห้ง
功能丧失导致的经济损失,gōng néng sàng shī dǎo zhì de jīng jì sǔn shī,Economic Loss from Loss of Function,ความเสียหายทางเศรษฐกิจจากการสูญเสียการทำงานของระบบ
记录丢失导致的经济损失,jì lù diū shī dǎo zhì de jīng jì sǔn shī,Economic Loss from Loss of Records,ความเสียหายทางเศรษฐกิจจากการสูญเสียข้อมูล/บันทึก
设备价值损失导致的经济损失,shè bèi jià zhí sǔn shī dǎo zhì de jīng jì sǔn shī,Economic Loss from Value of Equipment,ความเสียหายทางเศรษฐกิจจากมูลค่าอุปกรณ์ที่สูญเสีย
边缘保护条,biān yuán bǎo hù tiáo,Edge Trim,แถบกันขอบ
电子锁,diàn zǐ suǒ,Electronic Lock,กุญแจอิเล็กทรอนิกส์
紧急电源关闭系统,jǐn jí diàn yuán guān bì xì tǒng,EPO (Emergency Power Off) System,ระบบ EPO (ตัดไฟฉุกเฉิน)
紧急电源切断按钮,jǐn jí diàn yuán qiē duàn àn niǔ,EPO Button (Emergency Power Off),ปุ่ม EPO ตัดไฟฉุกเฉิน
防爆措施,fáng bào cuò shī,Explosion-Proof Measures,มาตรการป้องกันการระเบิด
伪造身份,wěi zào shēn fèn,Falsify Identity,การปลอมแปลงตัวตน
火,huǒ,Fire,ไฟ (อัคคีภัย)
火警警铃,huǒ jǐng jǐng líng,Fire Alarm Bell,กระดิ่งสัญญาณเตือนไฟไหม้
火灾报警控制盘,huǒ zāi bào jǐng kòng zhì pán,Fire Alarm Control Panel,แผงควบคุมสัญญาณเตือนไฟไหม้
手动报警按钮,shǒu dòng bào jǐng àn niǔ,Fire Alarm Pull Station,จุดดึงสัญญาณเตือนไฟไหม้ด้วยมือ
火灾报警系统,huǒ zāi bào jǐng xì tǒng,Fire Alarm System,ระบบสัญญาณเตือนไฟไหม้
防火阀,fáng huǒ fá,Fire Damper,แดมเปอร์กันไฟในท่อลม
火灾探测系统,huǒ zāi tàn cè xì tǒng,Fire Detection System,ระบบตรวจจับอัคคีภัย
火警电话,huǒ jǐng diàn huà,Fire Emergency Phone,โทรศัพท์แจ้งเหตุเพลิงไหม้
灭火器,miè huǒ qì,Fire Extinguisher,ถังดับเพลิง
消防栓,xiāo fáng shuān,Fire Hydrant,หัวจ่ายน้ำดับเพลิง (fire hydrant)
消防监督员,xiāo fáng jiān dū yuán,Fire Marshal,เจ้าหน้าที่ตรวจสอบความปลอดภัยด้านอัคคีภัย
消防行业最佳实践,xiāo fáng háng yè zuì jiā shí jiàn,Fire Protection Industry Best Practices,แนวปฏิบัติที่ดีที่สุดในอุตสาหกรรมป้องกันอัคคีภัย
消防系统,xiāo fáng xì tǒng,Fire Protection System,ระบบป้องกันอัคคีภัย
耐火等级,nài huǒ děng jí,Fire Rating,ระดับการทนไฟ
火灾风险缓解,huǒ zāi fēng xiǎn huǎn jiě,Fire Risk Mitigation,การลดความเสี่ยงจากอัคคีภัย
防火保险柜,fáng huǒ bǎo xiǎn guì,Fire Safe Vault,ตู้เซฟกันไฟ
消防喷淋头,xiāo fáng pēn lín tóu,Fire Sprinkler,หัวสปริงเกลอร์ดับเพลิง
灭火系统,miè huǒ xì tǒng,Fire Suppression System,ระบบดับเพลิง (fire suppression)
火灾威胁,huǒ zāi wēi xié,Fire Threat,ภัยคุกคามจากอัคคีภัย
监护措施,jiān hù cuò shī,Fire Watch / Monitoring Measures,มาตรการเฝ้าระวังไฟระหว่างงานเชื่อม
灭火器材,miè huǒ qì cái,Fire-Fighting Equipment,อุปกรณ์ดับเพลิง
防火等级建筑结构,fáng huǒ děng jí jiàn zhù jié gòu,Fire-resistant-rated Construction,โครงสร้างอาคารที่มีระดับทนไฟ
防火密封胶,fáng huǒ mì fēng jiāo,Fireproof Sealant,กาวซีลกันไฟ
火焰蔓延等级,huǒ yàn màn yán děng jí,Flame Spread Rating,ระดับการลามไฟ
易燃易爆气体,yì rán yì bào qì tǐ,Flammable and Explosive Gas,แก๊สไวไฟและระเบิดได้ง่าย
可燃性气体,kě rán xìng qì tǐ,Flammable Gas,แก๊สไวไฟ
泡沫灭火器,pào mò miè huǒ qì,Foam Fire Extinguisher,ถังดับเพลิงชนิดโฟม
气体灭火全淹没系统,qì tǐ miè huǒ quán yān mò xì tǒng,Gaseous Agent Total Flooding System,ระบบดับเพลิงด้วยแก๊สแบบท่วมพื้นที่ทั้งหมด
哈龙替代气体,hā lóng tì dài qì tǐ,Halon Alternative,สารดับเพลิงทดแทนฮาลอน
动火证,dòng huǒ zhèng,Hot Work Permit,ใบอนุญาตงานก่อประกายไฟ (hot work permit)
动火审批手续,dòng huǒ shěn pī shǒu xù,Hot Work Permit Approval,ขั้นตอนขออนุมัติงานที่ก่อประกายไฟ (hot work)
身份识别三原则（所有物/所知信息/生物特征）,shēn fèn shí bié sān yuán zé,Identification Principles (What you have / What you know / Who you are),หลักการยืนยันตัวตนสามข้อ (สิ่งที่มี/สิ่งที่รู้/ตัวตนทางชีวภาพ)
完整性、安全性与可用性,"wán zhěng xìng, ān quán xìng yǔ kě yòng xìng","Integrity, Safety, and Availability",ความสมบูรณ์ ความปลอดภัย และความพร้อมใช้งาน
金属柜,jīn shǔ guì,Metal Cabinet,ตู้เหล็ก
监控设备,jiān kòng shè bèi,Monitoring Equipment (Surveillance Camera),อุปกรณ์เฝ้าระวัง เช่น กล้องวงจรปิด
美国国家消防协会,měi guó guó jiā xiāo fáng xié huì,National Fire Protection Association (NFPA),สมาคมป้องกันอัคคีภัยแห่งชาติสหรัฐฯ (NFPA)
NFPA 75标准,NFPA 75 biāo zhǔn,NFPA 75,มาตรฐาน NFPA 75
NFPA规范与设计标准,NFPA guī fàn yǔ shè jì biāo zhǔn,NFPA Codes and Design Standards,ข้อกำหนดและมาตรฐานการออกแบบของ NFPA
不燃绝缘介质,bù rán jué yuán jiè zhì,Noncombustible Dielectric,ฉนวนที่ไม่ติดไฟ
现场防火制度,xiàn chǎng fáng huǒ zhì dù,On-Site Fire Prevention Protocol,ระเบียบป้องกันอัคคีภัยหน้างาน
人员出入控制,rén yuán chū rù kòng zhì,Personnel Access Control,การควบคุมการเข้าออกของบุคลากร
物理安防,wù lǐ ān fáng,Physical Security,ความปลอดภัยทางกายภาพ
物理门禁安全,wù lǐ mén jìn ān quán,Physical-Access Security,ความปลอดภัยในการเข้าถึงทางกายภาพ
确认身份识别,què rèn shēn fèn shí bié,Positive Identification,การยืนยันตัวตนที่ชัดเจน
预作用喷淋系统,yù zuò yòng pēn lín xì tǒng,Pre-action Sprinkler,ระบบสปริงเกลอร์แบบ pre-action
法规要求,fǎ guī yāo qiú,Regulatory Requirements,ข้อกำหนดทางกฎหมาย
安防数据远程管理,ān fáng shù jù yuǎn chéng guǎn lǐ,Remote Management of Security Data,การบริหารจัดการข้อมูลความปลอดภัยจากระยะไกล
限制访问,xiàn zhì fǎng wèn,Restricting Access,การจำกัดการเข้าถึง
风险承受度,fēng xiǎn chéng shòu dù,Risk Tolerance,ระดับการยอมรับความเสี่ยง
蓄意破坏,xù yì pò huài,Sabotage,การก่อวินาศกรรม (sabotage)
砂箱,shā xiāng,Sand Box (fire suppression),กล่องทรายดับเพลิง
沙土灭火,shā tǔ miè huǒ,Sand Fire Suppression,การดับไฟด้วยทราย
备用水源,bèi yòng shuǐ yuán,Secondary Water Source,แหล่งน้ำสำรอง
安防告警（Security）,ān fáng gào jǐng,Security Alarm,alarm ด้านความปลอดภัย (security)
安防与消防,ān fáng yǔ xiāo fáng,Security and Fire Protection,ระบบรักษาความปลอดภัยและป้องกันอัคคีภัย
安防系统,ān fáng xì tǒng,Security System,ระบบรักษาความปลอดภัย
烟雾探测,yān wù tàn cè,Smoke Detection,การตรวจจับควัน
烟感,yān gǎn,Smoke Detector,เครื่องตรวจจับควัน
发烟等级,fā yān děng jí,Smoke Developed Rating,ระดับการเกิดควัน
排烟系统,pái yān xì tǒng,Smoke Purging System,ระบบระบายควัน
软件攻击,ruǎn jiàn gōng jī,Software Attack,การโจมตีทางซอฟต์แวร์
喷淋头,pēn lín tóu,Sprinkler Head,หัวสปริงเกลอร์
喷淋系统阀门,pēn lín xì tǒng fá mén,Sprinkler System Valve,วาล์วของระบบสปริงเกลอร์
信息技术设备消防标准,xìn xī jì shù shè bèi xiāo fáng biāo zhǔn,Standard for the Fire Protection of Information Technology Equipment,มาตรฐานการป้องกันอัคคีภัยสำหรับอุปกรณ์เทคโนโลยีสารสนเทศ
灭火剂,miè huǒ jì,Suppression Agent,สารดับเพลิง
磁带库,cí dài kù,Tape Library,ตู้เก็บเทปสำรองข้อมูล
人员活动追踪,rén yuán huó dòng zhuī zōng,Tracking of Human Activity,การติดตามความเคลื่อนไหวของบุคลากร
UL认证延长线,UL rèn zhèng yán cháng xiàn,UL Approved Extension Cord,ปลั๊กพ่วงที่ผ่านมาตรฐาน UL
未受保护的键盘,wèi shòu bǎo hù de jiàn pán,Unsecured Keyboard,คีย์บอร์ดที่ไม่มีการป้องกัน
视频,shì pín,Video (Surveillance),กล้องวงจรปิด (video surveillance)
网站托管站点,wǎng zhàn tuō guǎn zhàn diǎn,Web Hosting Site,ไซต์โฮสติ้งเว็บไซต์
你所拥有的（身份识别要素）,nǐ suǒ yōng yǒu de,What You Have (Identification Principle),สิ่งที่คุณมี (หลักการยืนยันตัวตน)
你所知道的（身份识别要素）,nǐ suǒ zhī dào de,What You Know (Identification Principle),สิ่งที่คุณรู้ (หลักการยืนยันตัวตน)
你是谁（身份识别要素）,nǐ shì shuí,Who You Are (Identification Principle),สิ่งที่คุณเป็น (หลักการยืนยันตัวตน)
线缆弯曲半径,xiàn lǎn wān qǔ bàn jìng,Cable Bend Radius,รัศมีการโค้งงอของสายเคเบิล
线缆管理,xiàn lǎn guǎn lǐ,Cable Management,การจัดการสายเคเบิล
理线设备,lǐ xiàn shè bèi,Cable Management Device,อุปกรณ์จัดระเบียบสายเคเบิล
桥架/线缆桥架,qiáo jià / xiàn lǎn qiáo jià,Cable Tray,รางสายเคเบิล (cable tray)
线槽,xiàn cáo,Cable Trough,รางเก็บสาย (cable trough)
布线,bù xiàn,Cabling,ระบบสายเคเบิล (cabling)
布线基础设施,bù xiàn jī chǔ shè shī,Cabling Infrastructure,โครงสร้างพื้นฐานด้านสายเคเบิล
导线桥架,dǎo xiàn qiáo jià,Cabling Tray,รางเดินสาย (cable tray)
圆密耳（导线截面积单位）,yuán mì ěr,Circular Mil,หน่วยพื้นที่หน้าตัดสายไฟ (circular mil)
线管/导管,xiàn guǎn / dǎo guǎn,Conduit,ท่อร้อยสาย (conduit)
核心关键基础设施组件,hé xīn guān jiàn jī chǔ shè shī zǔ jiàn,Core Critical Infrastructure Components,องค์ประกอบหลักของโครงสร้างพื้นฐานที่สำคัญ
数据线缆,shù jù xiàn lǎn,Data Cables,สายเคเบิลข้อมูล
数据端口,shù jù duān kǒu,Data Port,พอร์ตข้อมูล
悬挂装置,xuán guà zhuāng zhì,Hanging Device,อุปกรณ์แขวนสายเคเบิ้ล
绝缘失效,jué yuán shī xiào,Insulation Failure,ฉนวนเสื่อมสภาพ
美国国家电气规范,měi guó guó jiā diàn qì guī fàn,National Electric Code (NEC),มาตรฐานไฟฟ้าแห่งชาติสหรัฐฯ (NEC)
网络连接,wǎng luò lián jiē,Network Connectivity,การเชื่อมต่อเครือข่าย
架空布线,jià kōng bù xiàn,Overhead Cabling,การเดินสายลอยด้านบน
架空布线部署,jià kōng bù xiàn bù shǔ,Overhead Deployment,การเดินสายแบบเหนือศีรษะ (overhead)
架空电力与数据布线,jià kōng diàn lì yǔ shù jù bù xiàn,Overhead Power and Data Cabling,การเดินสายไฟและสายข้อมูลลอยด้านบน
过热线缆,guò rè xiàn lǎn,Overheated Wire,สายไฟที่ร้อนเกินไป
配线架端口可用性,pèi xiàn jià duān kǒu kě yòng xìng,Patch Panel Port Availability,จำนวนพอร์ตว่างของ patch panel
电力线缆,diàn lì xiàn lǎn,Power Cables,สายเคเบิลไฟฟ้า
预配置线缆,yù pèi zhì xiàn lǎn,Pre-configured Cabling,สายเคเบิ้ลที่ตั้งค่าไว้ล่วงหน้า
机柜内布线安装,jī guì nèi bù xiàn ān zhuāng,Rack Installation (Cabling),การติดตั้งสายเคเบิลภายในตู้ rack
综合布线,zōng hé bù xiàn,Structured Cabling,ระบบสายเคเบิลแบบมีโครงสร้าง (structured cabling)
交换机,jiāo huàn jī,Switches,สวิตช์เครือข่าย
电信工业协会,diàn xìn gōng yè xié huì,Telecommunication Industry Association (TIA),สมาคมอุตสาหกรรมโทรคมนาคม (TIA)
线缆测试,xiàn lǎn cè shì,Testing Cables,การทดสอบสายเคเบิล
TIA-568-C标准,TIA-568-C biāo zhǔn,TIA-568-C,มาตรฐาน TIA-568-C
扎带,zā dài,Tie Wrap,สายรัดเคเบิ้ล (tie wrap)
地板下布线,dì bǎn xià bù xiàn,Under-the-Floor Cabling,การเดินสายใต้พื้นยก
地下布线部署,dì xià bù xiàn bù shǔ,Underfoot Deployment,การเดินสายแบบใต้พื้น (underfoot)
线径不足的电力线缆,xiàn jìng bù zú de diàn lì xiàn lǎn,Undersized Power Cable,สายไฟที่มีขนาดเล็กเกินไป
VoIP交换机,VoIP jiāo huàn jī,VoIP Switch,สวิตช์ VoIP
线径,xiàn jìng,Wire Size,ขนาดสายไฟ
配线间,pèi xiàn jiān,Wiring Closet,ห้องเดินสาย (wiring closet)
接入,jiē rù,Access / Onboarding,การเชื่อมต่อเข้าระบบ (access)
适应性,shì yìng xìng,Adaptability,ความสามารถในการปรับตัว (adaptability)
高级诊断,gāo jí zhěn duàn,Advanced Diagnostics,การวินิจฉัยขั้นสูง
AI调节,AI tiáo jié,AI-Based Regulation / Adjustment,การปรับตั้งด้วย AI
告警,gào jǐng,Alarm,alarm (การแจ้งเตือน)
告警管理,gào jǐng guǎn lǐ,Alarm Management,การบริหารจัดการ alarm
告警发送方式,gào jǐng fā sòng fāng shì,Alarm Notification Method,วิธีการแจ้งเตือน alarm
告警门户,gào jǐng mén hù,Alarm Portal,หน้าจอศูนย์รวม alarm (alarm portal)
告警登记,gào jǐng dēng jì,Alarm Registration,การลงทะเบียน alarm
设备分组告警,shè bèi fēn zǔ gào jǐng,Alarms by Device Group,การจัดกลุ่ม alarm ตามอุปกรณ์
告警严重等级分组,gào jǐng yán zhòng děng jí fēn zǔ,Alarms by Severity Group,การจัดกลุ่ม alarm ตามระดับความรุนแรง
应用管理解决方案,yìng yòng guǎn lǐ jiě jué fāng àn,Application Management Solution,โซลูชันการบริหารจัดการแอปพลิเคชัน
应用程序编程接口,yìng yòng chéng xù biān chéng jiē kǒu,Application Programming Interface (API),อินเทอร์เฟซโปรแกรมประยุกต์ (API)
评估分析,píng gū fēn xī,Assessment and Analysis,การประเมินและวิเคราะห์
评估阶段,píng gū jiē duàn,Assessment/Evaluation Phase,ขั้นตอนการประเมิน
资产管理,zī chǎn guǎn lǐ,Asset Management,การบริหารจัดการทรัพย์สิน
自动巡检,zì dòng xún jiǎn,Automatic Inspection,การตรวจสอบอัตโนมัติ (auto inspection)
可用性管理,kě yòng xìng guǎn lǐ,Availability Management,การจัดการความพร้อมใช้งาน
基本功能,jī běn gōng néng,Basic Functions,ฟังก์ชันพื้นฐาน
基本状态,jī běn zhuàng tài,Basic Status,สถานะพื้นฐาน
楼宇管理系统,lóu yǔ guǎn lǐ xì tǒng,Building Management System (BMS),ระบบ BMS (Building Management System)
优化业务,yōu huà yè wù,Business Optimization,การปรับปรุงกระบวนการทางธุรกิจ
业务需求,yè wù xū qiú,Business Requirements,ความต้องการทางธุรกิจ
容量管理,róng liàng guǎn lǐ,Capacity Management,การจัดการความจุ (capacity management)
集中管理,jí zhōng guǎn lǐ,Central Management,การบริหารจัดการแบบรวมศูนย์
变更管理,biàn gèng guǎn lǐ,Change Management,การจัดการการเปลี่ยนแปลง (change management)
通信协议（SNMP/Modbus/电总/TXT/Portal）,tōng xìn xié yì,Communication Protocols (SNMP/Modbus/电总/TXT/Portal),โปรโตคอลสื่อสาร (SNMP/Modbus/TXT/Portal)
组态,zǔ tài,Configuration (SCADA-Style Layout),การจัดผังระบบ (configuration แบบ SCADA)
配置管理,pèi zhì guǎn lǐ,Configuration Management,การบริหารจัดการค่าคอนฟิก (configuration)
施工文件,shī gōng wén jiàn,Construction Documents,เอกสารก่อสร้าง
建设阶段,jiàn shè jiē duàn,Construction Phase,ขั้นตอนการก่อสร้าง
控制范围,kòng zhì fàn wéi,Control Scope,ขอบเขตการควบคุม
控制系统,kòng zhì xì tǒng,Control System,ระบบควบคุม (control system)
控制成本,kòng zhì chéng běn,Cost Control,การควบคุมต้นทุน
严重告警（Critical）,yán zhòng gào jǐng,Critical Alarm,alarm ระดับวิกฤต (critical)
跨厂商监控,kuà chǎng shāng jiān kòng,Cross-vendor Monitoring,การเฝ้าติดตามระบบข้ามผู้ผลิตหลายเจ้า
采集,cǎi jí,Data Acquisition / Collection,การเก็บข้อมูล (data acquisition)
数据中心基础设施全生命周期,shù jù zhōng xīn jī chǔ shè shī quán shēng mìng zhōu qī,Data Center Infrastructure Full Lifecycle,วงจรชีวิตทั้งหมดของโครงสร้างพื้นฐานดาต้าเซ็นเตอร์
数据中心管理解决方案（DCIM）,shù jù zhōng xīn guǎn lǐ jiě jué fāng àn,Data Center Management Solution (DCIM),โซลูชันบริหารจัดการดาต้าเซ็นเตอร์ (DCIM)
数据模型,shù jù mó xíng,Data Model,โมเดลข้อมูล
数据点授权,shù jù diǎn shòu quán,Data Point Licensing,การขอไลเซนส์สำหรับจุดข้อมูล (data point)
DCF质量,DCF zhì liàng,DCF Quality (Data Center Facility Quality),คุณภาพของ DCF (Data Center Facility)
数据中心基础设施管理,shù jù zhōng xīn jī chǔ shè shī guǎn lǐ,DCIM (Data Center Infrastructure Management),ระบบ DCIM สำหรับบริหารจัดการโครงสร้างพื้นฐานดาต้าเซ็นเตอร์
DCIM智能化,DCIM zhì néng huà,DCIM Intelligence,ความอัจฉริยะของระบบ DCIM
DCIM管理,DCIM guǎn lǐ,DCIM Management,การบริหารจัดการด้วยระบบ DCIM
DCIM管理系统,DCIM guǎn lǐ xì tǒng,DCIM Management System,ระบบบริหารจัดการ DCIM
DCIM系统,DCIM xì tǒng,DCIM System,ระบบ DCIM
数据中心物理基础设施,shù jù zhōng xīn wù lǐ jī chǔ shè shī,DCPI (Data Center Physical Infrastructure),โครงสร้างพื้นฐานทางกายภาพของดาต้าเซ็นเตอร์ (DCPI)
部署验收,bù shǔ yàn shōu,Deployment and Acceptance,การติดตั้งและตรวจรับ
设计阶段,shè jì jiē duàn,Design Phase,ขั้นตอนการออกแบบ
设计方案,shè jì fāng àn,Design Scheme,แผนการออกแบบ
设计标准,shè jì biāo zhǔn,Design Standard,มาตรฐานการออกแบบ
部件级故障诊断,bù jiàn jí gù zhàng zhěn duàn,Diagnosis to Component Level,การวินิจฉัยปัญหาระดับชิ้นส่วน
审查文件,shěn chá wén jiàn,Document Review,การตรวจสอบเอกสาร
网元管理器,wǎng yuán guǎn lǐ qì,Element Manager,ระบบจัดการอุปกรณ์ (element manager)
环境告警（Environment）,huán jìng gào jǐng,Environment Alarm,alarm ด้านสภาพแวดล้อม
监控环境,jiān kòng huán jìng,Environment Monitoring,การตรวจสอบสภาพแวดล้อม
环境变量,huán jìng biàn liàng,Environmental Variable,ตัวแปรสภาพแวดล้อม เช่น อุณหภูมิ ความชื้น
升级路径,shēng jí lù jìng,Escalation Path,ขั้นตอนการยกระดับแจ้งปัญหา (escalation path)
故障处理,gù zhàng chǔ lǐ,Fault Handling / Troubleshooting,การแก้ไขปัญหาข้อผิดพลาด
故障管理,gù zhàng guǎn lǐ,Fault Management,การบริหารจัดการความผิดปกติ (fault)
故障预测,gù zhàng yù cè,Fault Prediction,การพยากรณ์ความเสียหาย/ข้อผิดพลาด
故障恢复,gù zhàng huī fù,Fault Recovery,การกู้คืนระบบหลังเกิดความผิดปกติ (fault recovery)
固件,gù jiàn,Firmware,เฟิร์มแวร์
固件版本,gù jiàn bǎn běn,Firmware Revision,เวอร์ชันของเฟิร์มแวร์
全局阈值,quán jú yù zhí,Global Threshold,ค่า threshold ที่ตั้งไว้ทั้งระบบ
图形用户界面,tú xíng yòng hù jiè miàn,Graphical User Interface (GUI),หน้าจอผู้ใช้แบบกราฟิก (GUI)
事件管理,shì jiàn guǎn lǐ,Incident Management,การจัดการเหตุการณ์ผิดปกติ (incident management)
事件时间戳,shì jiàn shí jiān chuō,Incident Timestamp,เวลาที่บันทึกเหตุการณ์เกิดขึ้น (timestamp)
初始方案,chū shǐ fāng àn,Initial Proposal/Scheme,แผนเบื้องต้น (initial proposal)
IT基础设施库,IT jī chǔ shè shī kù,ITIL (IT Infrastructure Library),กรอบการทำงาน ITIL สำหรับบริหาร IT
L3 操作系统层,L3 cāo zuò xì tǒng céng,L3 Operating System Layer (virtualization/automation/management/parallel & distributed computing),ชั้น L3 ระบบปฏิบัติการ (virtualization/automation/management)
维护,wéi hù,Maintenance,การบำรุงรักษา (maintenance)
维护窗口期,wéi hù chuāng kǒu qī,Maintenance Window,ช่วงเวลาที่อนุญาตให้ทำการซ่อมบำรุง (maintenance window)
主要告警（Major）,zhǔ yào gào jǐng,Major Alarm,alarm ระดับสำคัญ (major)
可管理性,kě guǎn lǐ xìng,Manageability,ความสามารถในการบริหารจัดการ
管理,guǎn lǐ,Management,ระบบบริหารจัดการ (management)
管理系统,guǎn lǐ xì tǒng,Management Systems,ระบบบริหารจัดการ
制造商通知,zhì zào shāng tōng zhī,Manufacturer Notification,การแจ้งเตือนจากผู้ผลิต
批量远程升级,pī liàng yuǎn chéng shēng jí,Mass Remote Upgrade,การอัปเกรดระยะไกลจำนวนมากพร้อมกัน
计量管理,jì liàng guǎn lǐ,Metering Management,การบริหารจัดการมิเตอร์วัดพลังงาน
次要告警（Minor）,cì yào gào jǐng,Minor Alarm,alarm ระดับรอง (minor)
Modbus,Modbus,Modbus (Industrial Communication Protocol),โปรโตคอล Modbus
模块化架构,mó kuài huà jià gòu,Modular Architecture,สถาปัตยกรรมแบบโมดูลาร์
监控,jiān kòng,Monitoring,การตรวจสอบ/มอนิเตอร์ (monitoring)
